exp_ID,date,time,temp,male_ID,male_age,female_ID,female_age,court,cop,sp,m_mass,f_mass
LY,13-Apr,11:15,28.5,221288,NA,221033,-5,0,0,form,0.00886,0.00842
LY,14-May,14:20,31,221277,15,221039,19,0,0,form,0.00782,0.02117
LY,15-May,11:42,33,221233,NA,221040,16,1,1,form,0.01048,0.02047
LY,13-Apr,13:06,29.6,221294,NA,221041,-5,1,0,form,0.00921,0.00717
LY,29-Apr,11:40,30.2,221235,NA,221042,9,1,0,form,0.01,0.01586
LY,13-May,13:51,32,221281,10,221043,-5,0,0,form,0.01089,0.01565
LY,13-Apr,10:07,28.5,222162,NA,221044,-5,0,0,form,0.01034,0.017
LY,13-Apr,12:55,29.6,221259,NA,221046,-5,1,0,form,0.00871,0.00946
LY,21-May,12:55,30.7,22362,15,221047,24,0,0,form,0.01124,0.01986
LY,2-May,15:43,30.9,221245,NA,221048,8,1,0,form,0.01084,0.01664
LY,11-May,15:54,31.8,221219,8,221049,10,1,1,form,0.01157,0.02102
LY,18-May,10:46,31.2,221206,25,221050,17,1,1,form,0.01189,0.01844
SW,16-May,13:49,30.7,221234,NA,221051,21,1,1,form,0.00958,0.02797
LY,19-Apr,15:51,29.7,221297,NA,221052,-5,1,0,form,0.00981,0.01392
LY,19-Apr,16:05,28.2,221289,NA,221053,-5,0,0,form,0.0088,0.0088
LY,24-May,9:19,32,22508,13,221055,26,1,1,form,0.00942,0.01943
LY,21-May,12:49,31,221251,NA,221056,19,0,0,form,0.00853,0.01797
LY,15-May,11:16,32,221230,NA,221057,14,1,0,form,0.01012,0.01709
LY,3-May,12:16,32,221287,NA,221058,6,1,0,form,0.01121,0.01462
LY,27-May,11:32,31.5,22523,NA,221059,26,1,1,form,0.01206,0.02213
LY,15-May,12:24,31,221222,NA,221060,17,1,1,form,0.01136,0.02129
LY,15-Apr,13:39,30,221270,NA,221061,-5,0,0,form,0.01189,0.01506
LY,1-Jun,9:44,32,22519,13,221062,30,1,0,form,0.01088,0.02468
LY,17-May,10:48,32.5,22346,NA,221063,16,1,0,form,0.01096,0.01566
LY,3-May,11:49,30.5,221275,NA,221064,11,1,0,form,0.00939,0.01942
LY,4-May,12:21,30,22145,8,221065,3,1,0,form,0.01001,0.01645
LY,17-May,10:37,33,221253,NA,221066,21,1,1,form,0.01048,0.02314
LY,19-Apr,14:56,29.4,221267,NA,221067,-5,0,0,form,0.01147,0.01286
LY,19-May,14:27,30.7,221211,20,221068,20,1,0,form,0.00949,0.0149
LY,29-Apr,11:26,31,221272,NA,221069,2,1,0,form,0.00946,0.01556
LY,24-May,9:53,33,221264,NA,221070,23,1,1,form,0.01123,0.02035
LY,5-Jul,15:48,32.5,22315,34,221071,30,0,0,form,0.01119,0.02325
LY,19-May,15:10,33,221212,16,221072,20,1,1,form,0.01272,0.01915
LY,25-May,9:38,32,22318,19,221073,24,1,1,form,0.00944,0.0159
LY,17-Jun,16:20,32,221205,45,221074,8,1,0,form,0.01128,0.01814
LY,10-May,14:43,31,221226,NA,221075,11,1,0,form,0.01078,0.02112
LY,22-May,11:32,31.2,22377,11,221076,20,1,0,form,0.01075,0.02109
LY,14-May,14:44,32,221244,NA,221077,15,1,0,form,0.01029,0.01794
LY,25-Jun,14:36,32.6,221218,37,221078,15,0,0,form,0.01263,0.02261
LY,15-Apr,13:17,29,221234,NA,221084,-5,0,0,form,0.01152,0.00587
LY,28-May,16:40,32,22327,NA,221085,21,1,1,form,0.01008,0.01911
LY,28-May,17:04,31.5,221283,29,221086,27,1,0,form,0.01251,0.01724
